RecordBagHeader: idx_pos: 309103179, conn_count: 13, chunk_count: 355
---------- RecordChunk: compression none, size: 921617
RecordConnection: connection: id 0, topic: /imu
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 0, cnt: 1
RecordConnection: connection: id 1, topic: /gps
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 1, cnt: 2
RecordConnection: connection: id 2, topic: /gps_time
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 2, cnt: 3
RecordConnection: connection: id 3, topic: /pose_raw
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 3, cnt: 4
RecordConnection: connection: id 4, topic: /velocity_raw
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 4, cnt: 5
RecordMessageData: time : 2017-08-03 21:48:43.03928709 -0700 PDT, conn: 0, cnt: 6
RecordMessageData: time : 2017-08-03 21:48:43.03928709 -0700 PDT, conn: 1, cnt: 7
RecordMessageData: time : 2017-08-03 21:48:43.03928709 -0700 PDT, conn: 2, cnt: 8
RecordMessageData: time : 2017-08-03 21:48:43.03632307 -0700 PDT, conn: 3, cnt: 9
RecordMessageData: time : 2017-08-03 21:48:43.03632307 -0700 PDT, conn: 4, cnt: 10
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 0, cnt: 11
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 1, cnt: 12
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 2, cnt: 13
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 3, cnt: 14
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 4, cnt: 15
RecordConnection: connection: id 5, topic: /pose_ground_truth
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 5, cnt: 16
RecordConnection: connection: id 6, topic: /tf
RecordMessageData: time : 2017-08-03 21:48:43.031317949 -0700 PDT, conn: 6, cnt: 17
RecordMessageData: time : 2017-08-03 21:48:43.03632307 -0700 PDT, conn: 5, cnt: 18
RecordMessageData: time : 2017-08-03 21:48:43.03632307 -0700 PDT, conn: 6, cnt: 19
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 5, cnt: 20
RecordMessageData: time : 2017-08-03 21:48:43.041313886 -0700 PDT, conn: 6, cnt: 21
RecordMessageData: time : 2017-08-03 21:48:43.049295902 -0700 PDT, conn: 0, cnt: 22
RecordMessageData: time : 2017-08-03 21:48:43.049295902 -0700 PDT, conn: 1, cnt: 23
RecordMessageData: time : 2017-08-03 21:48:43.049295902 -0700 PDT, conn: 2, cnt: 24
RecordMessageData: time : 2017-08-03 21:48:43.046319007 -0700 PDT, conn: 3, cnt: 25
RecordMessageData: time : 2017-08-03 21:48:43.046319007 -0700 PDT, conn: 4, cnt: 26
RecordMessageData: time : 2017-08-03 21:48:43.046319007 -0700 PDT, conn: 5, cnt: 27
RecordMessageData: time : 2017-08-03 21:48:43.046319007 -0700 PDT, conn: 6, cnt: 28
RecordConnection: connection: id 7, topic: /pose_localized
RecordMessageData: time : 2017-08-03 21:48:43.046319007 -0700 PDT, conn: 7, cnt: 29
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 0, cnt: 30
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 1, cnt: 31
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 2, cnt: 32
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 3, cnt: 33
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 4, cnt: 34
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 5, cnt: 35
RecordMessageData: time : 2017-08-03 21:48:43.051310062 -0700 PDT, conn: 6, cnt: 36
RecordMessageData: time : 2017-08-03 21:48:43.059303045 -0700 PDT, conn: 0, cnt: 37
RecordMessageData: time : 2017-08-03 21:48:43.059303045 -0700 PDT, conn: 1, cnt: 38
RecordMessageData: time : 2017-08-03 21:48:43.059303045 -0700 PDT, conn: 2, cnt: 39
RecordMessageData: time : 2017-08-03 21:48:43.056314945 -0700 PDT, conn: 3, cnt: 40
RecordMessageData: time : 2017-08-03 21:48:43.056314945 -0700 PDT, conn: 4, cnt: 41
RecordMessageData: time : 2017-08-03 21:48:43.056314945 -0700 PDT, conn: 5, cnt: 42
RecordMessageData: time : 2017-08-03 21:48:43.056314945 -0700 PDT, conn: 6, cnt: 43
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 0, cnt: 44
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 1, cnt: 45
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 2, cnt: 46
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 3, cnt: 47
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 4, cnt: 48
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 5, cnt: 49
RecordMessageData: time : 2017-08-03 21:48:43.061312913 -0700 PDT, conn: 6, cnt: 50
RecordMessageData: time : 2017-08-03 21:48:43.069293022 -0700 PDT, conn: 0, cnt: 51
RecordMessageData: time : 2017-08-03 21:48:43.069293022 -0700 PDT, conn: 1, cnt: 52
RecordMessageData: time : 2017-08-03 21:48:43.069293022 -0700 PDT, conn: 2, cnt: 53
RecordMessageData: time : 2017-08-03 21:48:43.066318035 -0700 PDT, conn: 3, cnt: 54
RecordMessageData: time : 2017-08-03 21:48:43.066318035 -0700 PDT, conn: 4, cnt: 55
RecordMessageData: time : 2017-08-03 21:48:43.066318035 -0700 PDT, conn: 5, cnt: 56
RecordMessageData: time : 2017-08-03 21:48:43.066318035 -0700 PDT, conn: 6, cnt: 57
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 0, cnt: 58
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 1, cnt: 59
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 2, cnt: 60
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 3, cnt: 61
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 4, cnt: 62
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 5, cnt: 63
RecordMessageData: time : 2017-08-03 21:48:43.071316003 -0700 PDT, conn: 6, cnt: 64
RecordMessageData: time : 2017-08-03 21:48:43.079293966 -0700 PDT, conn: 0, cnt: 65
RecordMessageData: time : 2017-08-03 21:48:43.079293966 -0700 PDT, conn: 1, cnt: 66
RecordMessageData: time : 2017-08-03 21:48:43.079293966 -0700 PDT, conn: 2, cnt: 67
RecordMessageData: time : 2017-08-03 21:48:43.076320886 -0700 PDT, conn: 3, cnt: 68
RecordMessageData: time : 2017-08-03 21:48:43.076320886 -0700 PDT, conn: 4, cnt: 69
RecordMessageData: time : 2017-08-03 21:48:43.076320886 -0700 PDT, conn: 5, cnt: 70
RecordMessageData: time : 2017-08-03 21:48:43.076320886 -0700 PDT, conn: 6, cnt: 71
RecordMessageData: time : 2017-08-03 21:48:43.089288949 -0700 PDT, conn: 0, cnt: 72
RecordMessageData: time : 2017-08-03 21:48:43.089288949 -0700 PDT, conn: 1, cnt: 73
RecordMessageData: time : 2017-08-03 21:48:43.089288949 -0700 PDT, conn: 2, cnt: 74
RecordMessageData: time : 2017-08-03 21:48:43.08633089 -0700 PDT, conn: 3, cnt: 75
RecordMessageData: time : 2017-08-03 21:48:43.08633089 -0700 PDT, conn: 4, cnt: 76
RecordMessageData: time : 2017-08-03 21:48:43.08633089 -0700 PDT, conn: 5, cnt: 77
RecordMessageData: time : 2017-08-03 21:48:43.08633089 -0700 PDT, conn: 6, cnt: 78
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 0, cnt: 79
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 1, cnt: 80
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 2, cnt: 81
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 3, cnt: 82
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 4, cnt: 83
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 5, cnt: 84
RecordMessageData: time : 2017-08-03 21:48:43.091317892 -0700 PDT, conn: 6, cnt: 85
RecordMessageData: time : 2017-08-03 21:48:43.099315881 -0700 PDT, conn: 0, cnt: 86
RecordMessageData: time : 2017-08-03 21:48:43.099315881 -0700 PDT, conn: 1, cnt: 87
RecordMessageData: time : 2017-08-03 21:48:43.099315881 -0700 PDT, conn: 2, cnt: 88
RecordMessageData: time : 2017-08-03 21:48:43.096323013 -0700 PDT, conn: 3, cnt: 89
RecordMessageData: time : 2017-08-03 21:48:43.096323013 -0700 PDT, conn: 4, cnt: 90
RecordMessageData: time : 2017-08-03 21:48:43.096323013 -0700 PDT, conn: 5, cnt: 91
RecordMessageData: time : 2017-08-03 21:48:43.096323013 -0700 PDT, conn: 6, cnt: 92
RecordMessageData: time : 2017-08-03 21:48:43.096323013 -0700 PDT, conn: 7, cnt: 93
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 0, cnt: 94
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 1, cnt: 95
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 2, cnt: 96
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 3, cnt: 97
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 4, cnt: 98
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 5, cnt: 99
RecordMessageData: time : 2017-08-03 21:48:43.101306915 -0700 PDT, conn: 6, cnt: 100
RecordMessageData: time : 2017-08-03 21:48:43.109278917 -0700 PDT, conn: 0, cnt: 101
RecordMessageData: time : 2017-08-03 21:48:43.109278917 -0700 PDT, conn: 1, cnt: 102
RecordMessageData: time : 2017-08-03 21:48:43.109278917 -0700 PDT, conn: 2, cnt: 103
RecordMessageData: time : 2017-08-03 21:48:43.106312036 -0700 PDT, conn: 3, cnt: 104
RecordMessageData: time : 2017-08-03 21:48:43.106312036 -0700 PDT, conn: 4, cnt: 105
RecordMessageData: time : 2017-08-03 21:48:43.106312036 -0700 PDT, conn: 5, cnt: 106
RecordMessageData: time : 2017-08-03 21:48:43.106312036 -0700 PDT, conn: 6, cnt: 107
RecordMessageData: time : 2017-08-03 21:48:43.111320018 -0700 PDT, conn: 0, cnt: 108
RecordMessageData: time : 2017-08-03 21:48:43.111320018 -0700 PDT, conn: 1, cnt: 109
RecordMessageData: time : 2017-08-03 21:48:43.111320018 -0700 PDT, conn: 2, cnt: 110
RecordMessageData: time : 2017-08-03 21:48:43.111316919 -0700 PDT, conn: 3, cnt: 111
